,sigma_hat,var_fhs
2008-06-23,0.006175103107568542,16970.618475379142
2008-06-24,0.0065057968816395716,17879.441821998924
2008-06-25,0.006364600176196009,17491.400460369463
2008-06-26,0.006211756903854503,17071.351626163443
2008-06-27,0.006697166384171854,18405.369690526004
2008-06-30,0.0064937477851458435,17846.328104542536
2008-07-01,0.006284461367379078,17271.16038893866
2008-07-02,0.006304321343137591,17325.740217915918
2008-07-03,0.0061301722550390495,16847.138050393693
2008-07-07,0.0064253709960485,17658.412796874192
2008-07-08,0.007229717335067243,19868.943472034025
2008-07-09,0.007386951107870833,20301.058421891896
2008-07-10,0.0071667505463927274,19695.896102848346
2008-07-11,0.007360710662173281,20228.94357865774
2008-07-14,0.008170521654986789,22454.49239246813
2008-07-15,0.007933844024866452,21804.047259413393
2008-07-16,0.007725254235257653,21230.794039888715
2008-07-17,0.0074661706559648496,20518.772151213714
2008-07-18,0.007484353344795646,20568.742405900764
2008-07-21,0.007250749981170449,19926.746071655023
2008-07-22,0.007071940933349461,19435.33725180932
2008-07-23,0.007115588208194115,19555.290107004683
2008-07-24,0.0075375258069259555,20714.872689475145
2008-07-25,0.007784732234793082,21394.253405701955
2008-07-28,0.007684955816982522,21120.04462084334
2008-07-29,0.00760359827594884,20896.45519003928
2008-07-30,0.00738431164527182,20293.804565240825
2008-07-31,0.007146341411288393,19639.807056360423
2008-08-01,0.007062053536998456,19408.164388738885
2008-08-04,0.007032787277323816,19327.73390547603
2008-08-05,0.00720506360435388,19520.992311084403
2008-08-08,0.006978716780169885,18907.74101211403
2008-08-11,0.008757121626520219,24640.923012290907
2008-08-12,0.00881239443612482,24796.45049086507
2008-08-13,0.009044197302933571,25448.7009492537
2008-08-26,0.008783482805815262,24715.098502506233
2008-08-27,0.010202905660650548,28709.092280320263
2008-08-28,0.00990340663047827,27866.35732019577
2008-08-29,0.009851804449451239,27721.158312555785
2008-09-02,0.009629644720032181,27096.0418619097
2008-09-03,0.010048347676731805,28274.194656979846
2008-09-04,0.009786277383378736,27536.777250013038
2008-09-05,0.010486181771643873,29506.17894188595
2008-09-08,0.010161514895444512,28592.626310980173
2008-09-09,0.010977460500884093,30888.546557761434
2008-09-10,0.01431537919195554,41167.04244080283
2008-09-11,0.014178579843627796,40773.64562588317
2008-09-12,0.013713286208720412,39435.59075784086
2008-09-15,0.014546885802288072,41832.79095679333
2008-09-16,0.014478544500101512,41636.26041087842
2008-09-17,0.014014441684712348,40301.630008020635
2008-09-18,0.016213137982827915,46624.468027555835
2008-09-19,0.015652743626670202,45012.92997926613
2008-09-22,0.017796638668635956,51178.17485317258
2008-09-23,0.0179702632238,51677.47070383509
2008-09-24,0.017463730959331805,50220.825025827755
2008-09-25,0.017124612895289708,49245.61594839661
2008-09-26,0.016561662104584852,47626.72630654532
2008-09-29,0.015981507824208607,45958.36422111182
2008-09-30,0.015843547914710404,45561.629955586155
2008-10-01,0.015468517676862335,44483.14747104592
2008-10-02,0.014925268854746711,42920.9152020944
2008-10-03,0.016564506823913683,47634.906926825926
2008-10-06,0.015979099888016057,45951.43966744794
2008-10-07,0.015690473411142353,45121.430328283794
2008-10-08,0.015514242470104992,44614.63923796155
2008-10-09,0.019603475244008996,56374.13347812996
2008-10-10,0.01986715008353962,57132.3888595612
2008-10-13,0.02131327421677944,61291.03899166578
2008-10-14,0.020566578153973426,59143.749136766965
2008-10-15,0.019860402231126423,57112.983915902114
2008-10-16,0.019465072345278948,55976.12529898569
2008-10-17,0.019213204291419504,55251.82294389748
2008-10-20,0.018731184265375563,53865.66763474446
2008-10-21,0.01806464675753429,51948.891452587304
2008-10-22,0.01923340607466476,55309.91764450483
2008-10-23,0.020739263546234708,59640.3442165621
2008-10-24,0.020001479328473185,57518.68234526423
2008-10-27,0.019306497169614058,55520.10727116267
2008-10-28,0.018683677792251156,53729.05225284635
2008-10-29,0.021106496262328932,57805.287118975415
2008-10-30,0.020318492734460028,55647.14729258807
2008-10-31,0.019492778755875257,53385.72820071188
2008-11-03,0.018938437960999945,51867.53075044532
2008-11-04,0.01832500146303575,50187.48530598336
2008-11-05,0.018888154100599887,51729.81613634029
2008-11-06,0.019622700342022428,53741.55014751193
2008-11-07,0.019258911050913537,52745.2244588712
2008-11-10,0.018643422447401085,51059.55882293164
2008-11-11,0.017903349696402157,49032.68911757096
2008-11-12,0.01774049556050207,48586.67335222486
2008-11-13,0.017879179053404682,48966.49191738416
2008-11-14,0.018696925468018183,51206.089892326796
2008-11-17,0.018171517741215504,49767.13270469713
2008-11-18,0.017504667864572124,47940.801697147384
2008-11-19,0.01703288393893625,46648.70636590221
2008-11-20,0.0170941307199428,46816.44561154458
2008-11-21,0.017125328508606853,46901.88836380382
2008-11-24,0.01939552990688298,53119.38851229937
2008-11-25,0.020354368990981763,55745.40316998324
2008-11-26,0.0198378889874835,54330.89672976879
2008-11-28,0.019180953324041197,52531.718212785185
2008-12-01,0.01850034095978921,50667.695276750535
2008-12-02,0.0232276919471032,64669.43252224845
2008-12-03,0.022476820631557457,62578.8924038346
2008-12-04,0.021554560553390716,60011.17986361359
2008-12-05,0.021109609105005603,58772.36725439926
2008-12-08,0.020299938235869387,56518.12022218972
2008-12-09,0.02738566108483334,76245.85196135528
2008-12-10,0.03008172715374321,83752.11057353026
2008-12-11,0.029349842041957938,81714.43093844542
2008-12-12,0.02814277740386595,78353.77912074223
2008-12-15,0.026980072971118624,75116.63287185505
2008-12-16,0.025936529759519406,72211.24961379172
2008-12-17,0.025264740445416056,70340.88583350265
2008-12-18,0.024273128985447714,67580.08848244649
2008-12-19,0.024310225166736497,67683.36990180367
2008-12-22,0.023572243980803032,65628.71786771015
2008-12-23,0.0226143524754786,62961.802006750535
2008-12-24,0.021744041915375104,60538.72483799067
2008-12-26,0.020944885255341168,58313.750965491236
2008-12-29,0.02023109873648998,56326.460569990086
2008-12-30,0.019401291271508022,54016.15018765348
2008-12-31,0.01862308435407082,51849.50358969787
2009-01-02,0.018163070420767355,50568.75472808863
2009-01-05,0.01828934640097956,50920.326291897516
2009-01-06,0.01792598209577675,49908.66471700576
2009-01-07,0.017220279536067168,47943.881295138126
2009-01-08,0.017342491488703256,48284.137987125
2009-01-09,0.016749733752973308,46633.81015945596
2009-01-12,0.016140983691767682,44837.392605628476
2009-01-13,0.01733245093756384,48147.12178302401
2009-01-14,0.016672421531563442,46313.65251168133
2009-01-15,0.016579759121680443,46056.24931178672
2009-01-16,0.015896868385681752,44159.27446679407
2009-01-20,0.016435950292097448,45656.768519580895
2009-01-21,0.015768382552365203,43802.35881266242
2009-01-22,0.0156673194135495,43521.61956407821
2009-01-23,0.015040911425106778,41781.54588297827
2009-01-26,0.015545905608255266,43184.349013554245
2009-01-27,0.015181070975670913,42170.889489048444
2009-01-28,0.014841079275504843,41226.44015224772
2009-01-29,0.01435009605408784,39862.55751152129
2009-01-30,0.014050330301382332,39029.85022425516
2009-02-02,0.013510050094695176,37529.02746110243
2009-02-03,0.014181576814565578,39394.43466050104
2009-02-04,0.01398040041359671,38835.594787697686
2009-02-05,0.013426705422752603,37297.507632519584
2009-02-06,0.012954183817413468,35984.90877622817
2009-02-09,0.012758574565382293,35441.53366365134
2009-02-10,0.012322949402501464,34231.427958201646
2009-02-11,0.012104498453863487,33624.6018107873
2009-02-12,0.01161683085984063,32269.929518701596
2009-02-13,0.011152013428941334,30978.731780251437
2009-02-17,0.0107835109701722,29955.08354818005
2009-02-18,0.01081435771115333,30040.771475408455
2009-02-19,0.010960170794275486,30445.819803306815
2009-02-20,0.01056048896216633,29335.55963788982
2009-02-23,0.010468643289042356,29080.425218350796
2009-02-24,0.010285733914161085,28572.328586236337
2009-02-25,0.010376109714189497,28823.3799041302
2009-02-26,0.009998072797820154,27773.246283877652
2009-02-27,0.009622621050030384,26730.293899959117
2009-03-02,0.009293082482610467,25814.88190226041
2009-03-03,0.010844596227914656,30124.76984091891
2009-03-04,0.010532002891248206,29256.42932155109
2009-03-05,0.01016406285068586,28234.343408507335
2009-03-06,0.009829486918335241,26897.835293502187
2009-03-09,0.009447318540122566,25852.05313040935
2009-03-10,0.009180837735114383,25122.843471600023
2009-03-11,0.008825037922074532,24149.217396493994
2009-03-12,0.008635958215595091,23631.81146834316
2009-03-13,0.00880095856145831,24083.325587368145
2009-03-16,0.008479414835934363,23203.439359261032
2009-03-17,0.00818985821856831,22411.084044404495
2009-03-18,0.007991430116870231,21868.096761200384
2009-03-19,0.007921563244382769,21676.91001419587
2009-03-20,0.008735481488054675,23904.15127740225
2009-03-23,0.008569065949913227,23448.764564708366
2009-03-24,0.008552154484395376,23402.48729531983
2009-03-25,0.009027144567998533,25085.598395228906
2009-03-26,0.010060564434687835,27957.376459060953
2009-03-27,0.009644794846801334,26801.991295113916
2009-03-30,0.010175918099206363,28277.933605313832
2009-03-31,0.010902096826721837,30295.91700907918
2009-04-01,0.010464068625759652,29078.677221641254
2009-04-02,0.010128620189631949,28146.497096727966
2009-04-03,0.009917113858205434,27558.74059762161
2009-04-06,0.009635319786068231,26775.660979195018
2009-04-07,0.00996162683513036,27682.438036396805
2009-04-08,0.00957018313740772,26594.652267436784
2009-04-09,0.009282553349392986,25795.355735261914
2009-04-13,0.009368760784257803,26034.91820968689
2009-04-14,0.009151816389740285,25432.049837083745
2009-04-15,0.009686299831750492,26917.329802877004
2009-04-16,0.009321850220235755,25904.558098503723
2009-04-17,0.009021481647896186,25069.861664930453
2009-04-20,0.008685762152737815,24136.92829208439
2009-04-21,0.008788619469210923,24422.759244897792
2009-04-22,0.00864193753887324,24015.143750477513
2009-04-23,0.00839678981927913,23333.90095050677
2009-04-24,0.008459220531890963,23507.390116688985
2009-04-27,0.00909960222378414,25286.951507501097
2009-04-28,0.009954560530228047,27662.80142976196
2009-04-29,0.009555457936106336,26553.732297300834
2009-04-30,0.009991885620335868,27766.524397025587
2009-05-01,0.00962797259840421,26755.243825388996
2009-05-04,0.00926759928854072,25753.79978563776
2009-05-05,0.01039836350268134,28896.088772144747
2009-05-06,0.010068515803149557,27979.47257532682
2009-05-07,0.01001302539350779,27825.269868083735
2009-05-08,0.009627909318818894,26755.067977284216
2009-05-11,0.01018359063356596,28299.25486744369
2009-05-12,0.010818991895992901,30064.976106202776
2009-05-13,0.010433741861214546,28994.40195272597
2009-05-14,0.010539840891404004,29289.24132761438
2009-05-15,0.010114499270757884,28107.25637147115
2009-05-18,0.009697966815220706,26949.751269002085
2009-05-19,0.00964245690737299,26795.49437805116
2009-05-20,0.009379907028967498,26065.8925910426
2009-05-21,0.008995342791049675,24997.224203502567
2009-05-22,0.009993479065066108,27770.952432299277
2009-05-26,0.009934084971342138,27605.90174866561
2009-05-27,0.009573027457788026,26602.556370249167
2009-05-28,0.009282883150450531,25796.272221844978
2009-05-29,0.009066254971305298,25194.28258246426
2009-06-01,0.008755537405670574,24330.827255351443
2009-06-02,0.009825377994288256,27303.81513106559
2009-06-03,0.00943061080940994,26206.793699218935
2009-06-04,0.010960541048288659,30458.328085993184
2009-06-05,0.011984581210807761,33097.73260756513
2009-06-08,0.011890502691214515,32837.91662978154
2009-06-09,0.011401459722083576,31487.330143596377
2009-06-10,0.010952853684273454,30248.41804275561
2009-06-11,0.010588448798631184,29242.043664400062
2009-06-12,0.010207834808632878,28190.904717942598
2009-06-15,0.010523948908804714,29063.91477786302
2009-06-16,0.011407103536204893,31502.91662487498
2009-06-17,0.011005875024713485,30394.846701171828
2009-06-18,0.010588310794612994,29241.66253968552
2009-06-19,0.010352215779547728,28589.640617420744
2009-06-22,0.00995827800234401,27501.705462694677
2009-06-23,0.010975961994123418,30312.23609755231
2009-06-24,0.010529820297300783,29080.1297496722
2009-06-25,0.010187580164639094,28134.967611824683
2009-06-26,0.009782275478072614,27015.640544436388
2009-06-29,0.009414342854747048,25999.523638036055
2009-06-30,0.00904309011218665,24974.237581981946
2009-07-01,0.0089465637535344,24707.661424496102
2009-07-02,0.009017721703808646,24904.177829170763
2009-07-06,0.009189003063673358,25377.204341298697
2009-07-07,0.008832228418138032,24391.902342724217
2009-07-08,0.008799224044087008,24300.754397876906
2009-07-09,0.009643445698158452,26632.235329624014
2009-07-10,0.009732538089813591,26878.281153378877
2009-07-13,0.009858557533657292,27226.308154266615
2009-07-14,0.009949418362307692,27477.237857881184
2009-07-15,0.009991903921174253,27594.569923333776
2009-07-16,0.01151590791366915,31803.400899502525
2009-07-17,0.011078842508995584,30596.36048303328
2009-07-20,0.010731848101787454,29638.06849901817
2009-07-21,0.010502472438056708,29004.603361496575
2009-07-22,0.010214974501142459,28210.6223559164
2009-07-23,0.009923709290442267,27406.23729714209
2009-07-24,0.010202290101385396,28175.59193941189
2009-07-27,0.009799221922543575,27062.441419484316
2009-07-28,0.009518955937127616,26288.43284287024
2009-07-29,0.009939898332165428,27450.946458413633
2009-07-30,0.01002000737067384,27672.18301973874
2009-07-31,0.00976717181121123,26973.928855193462
2009-08-03,0.009407875877443456,25981.663832857343
2009-08-04,0.010509740193218774,28520.236478461742
2009-08-05,0.010259173612820381,27840.275033632435
2009-08-06,0.009940871749968536,26976.50064595281
